N_unmapped	2987619	2987619	2987619
N_multimapping	505680	505680	505680
N_noFeature	39004	6087197	144768
N_ambiguous	7138230	137026	686955
SPOM_SPAC212.11	0	1	0
SPOM_SPNCRNA.2000	0	1	0
SPOM_SPNCRNA.2001	0	0	0
SPOM_SPNCRNA.2002	0	0	0
SPOM_SPNCRNA.2003	0	0	0
SPOM_SPNCRNA.2004	0	0	0
SPOM_SPNCRNA.2005	0	3	1
SPOM_SPAC212.10	0	0	0
SPOM_SPNCRNA.2006	0	2	0
SPOM_SPAC212.09C	1	0	2
SPOM_SPNCRNA.70	3	5	3
SPOM_SPNCRNA.2007	0	1	0
SPOM_SPAC212.08C	1	3	8
SPOM_SPNCRNA.2008	0	6	3
SPOM_SPNCRNA.2009	1	7	13
SPOM_SPAC212.07C	0	12	7
SPOM_SPNCRNA.1701	33	35	34
SPOM_SPAC212.12	0	3	31
SPOM_SPNCRNA.2011	0	0	0
SPOM_SPNCRNA.2012	5	20	2
SPOM_SPAC212.06C	0	2	15
SPOM_SPNCRNA.2013	0	0	0
SPOM_SPAC212.05C	1	1	0
SPOM_SPAC212.04C	88	0	88
SPOM_SPAC212.03	0	0	0
SPOM_SPNCRNA.2014	2	0	2
SPOM_SPNCRNA.2015	2	3	1
SPOM_SPAC212.02	0	1	0
SPOM_SPAC212.01C	0	0	0
SPOM_SPAC977.01	2	2	2
SPOM_SPAC977.18	43	2	45
SPOM_SPAC977.02	28	4	28
SPOM_SPNCRNA.2016	1	1	1
SPOM_SPAC977.03	0	0	0
SPOM_SPAC977.04	0	0	1
SPOM_SPAC977.05C	1	1	2
SPOM_SPNCRNA.2017	0	2	0
SPOM_SPAC977.06	6	0	6
SPOM_SPNCRNA.136	0	25	2
SPOM_SPNCRNA.601	0	2	23
SPOM_SPNCRNA.2018	0	1	10
SPOM_SPAC977.07C	0	11	1
SPOM_SPNCRNA.2019	0	0	0
SPOM_SPAC977.08	0	0	0
SPOM_SPAC977.09C	3	1	8
SPOM_SPNCRNA.2020	0	2	0
SPOM_SPNCRNA.2021	4	0	4
SPOM_SPNCRNA.2022	0	15	6
SPOM_SPNCRNA.2023	0	9	15
SPOM_SPNCRNA.602	112	302	879
SPOM_SPNCRNA.19	1	767	303
SPOM_SPAC977.10	452	367	2662
SPOM_SPNCRNA.2024	0	2210	364
SPOM_SPNCRNA.2025	7	0	7
SPOM_SPAC977.11	19	3	25
SPOM_SPNCRNA.2026	0	6	0
SPOM_SPNCRNA.2027	0	8	0
SPOM_SPAC977.12	385	33	362
SPOM_SPAC977.13C	1	24	405
SPOM_SPNCRNA.2028	0	404	24
SPOM_SPAC977.14C	4840	4	9403
SPOM_SPNCRNA.2029	1	4570	4
SPOM_SPNCRNA.2030	1	0	1
SPOM_SPNCRNA.2031	0	152	5
SPOM_SPAC977.15	12	6	162
SPOM_SPNCRNA.2032	0	1	0
SPOM_SPNCRNA.2033	0	1	8
SPOM_SPAC977.16C	1867	28	5595
SPOM_SPNCRNA.2034	0	2489	0
SPOM_SPAC977.17	1633	1280	1624
SPOM_SPNCRNA.2035	4	18	4
SPOM_SPNCRNA.137	0	1	17
SPOM_SPNCRNA.37	1	1	0
SPOM_SPNCRNA.2036	9	3	6
SPOM_SPAPJ695.02	448	0	448
SPOM_SPNCRNA.2037	44	27	17
SPOM_SPNCRNA.2038	36	25	98
SPOM_SPAPJ695.01C	16	71	31
SPOM_SPNCRNA.603	75	2	73
SPOM_SPAC1F8.01	175	1	250
SPOM_SPNCRNA.2039	0	75	0
