gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPNCRNA.2030,24.20352191263914,-7.601438826455796,1.2277054773442306,-6.191581748824,5.956343201362119e-10,1.39342189234552e-9
SPNCRNA.2031,6.0280745904004105,-3.659531150199528,1.2226520232171472,-2.9931093072338397,0.002761508250966798,0.004368391759009995
SPAC977.15,216.22124227090097,-1.4599048909826968,0.1869487292892333,-7.809119091277906,5.758906572071352e-15,1.6103181021598334e-14
SPNCRNA.2034,6.624774448450917,-2.3736925203921473,0.9433937226616096,-2.516120749346536,0.01186545233887308,0.017638800727709642
SPNCRNA.2035,26.16946075544344,-2.899634889963698,0.5174383389569835,-5.6038269135769525,2.096700912109786e-8,4.610795209137249e-8
SPNCRNA.137,7.345494086052513,-2.006398370816172,0.8641795112931792,-2.3217379544369767,0.02024704994117664,0.029278979778167513
SPAPJ695.02,399.0288974479782,-1.9115453163601006,0.16070593696787766,-11.894677648045981,1.2613911226619825e-32,5.41995416348447e-32
SPNCRNA.2037,32.58064709115283,-4.531146195303771,0.6574261282923997,-6.8922514641652315,5.491618434996504e-12,1.396130216986445e-11
SPNCRNA.2038,104.34233344404859,-2.3996432824944978,0.23655708834485326,-10.144034572307106,3.522439673851912e-24,1.2602033419261131e-23
SPAPJ695.01C,12.79905376645127,-2.2605954772637333,0.6553750262816994,-3.4493158674191884,5.620088755088678e-4,9.460283018871376e-4
SPNCRNA.2039,3.7696109126164172,-3.8645567635270717,1.443992828292301,-2.6762991393090125,0.007444017086527043,0.011330597729904017
SPNCRNA.606,590.3340687662361,-7.186488468604234,0.36030710351690587,-19.945453193839235,1.641558312474777e-88,1.734106470680313e-87
SPNCRNA.2048,22.86787333158682,-1.0172665088313806,0.42273061160533204,-2.406417895709707,0.01610982475798049,0.02352312512749753
SPAC11D3.02C,1013.8406838412845,-1.990336124785144,0.08608851668421223,-23.119647096325817,2.937808038046922e-118,4.376040602081968e-117
SPAC11D3.05,1380.4315149290053,-2.973532889733478,0.09284094292582822,-32.028249563439594,4.4100178350801054e-225,1.8453509259017175e-223
SPNCRNA.2055,245.0720047881222,-2.4105028811834317,0.16337581767262133,-14.754343179562161,2.8848626880766576e-49,1.684543587386774e-48
SPNCRNA.2057,86.83500648672954,-2.8911737927374612,0.3084674562590367,-9.37270280567162,7.069847416029955e-21,2.3320649888753963e-20
SPAC11D3.14C,1233.9886978716636,-1.4251403449420659,0.07675828302405135,-18.566600095725356,5.987636767298727e-77,5.4250646211439573e-76
SPNCRNA.612,846.5980922693616,-3.197399669059917,0.11815619216286219,-27.060788017379046,2.8514791508722606e-161,6.62102276561359e-160
SPNCRNA.613,107.1826627424261,-2.4937944069735636,0.2360576780018032,-10.56434354554023,4.3600847599143927e-26,1.6318623175381239e-25
SPNCRNA.2062,24.15966588545587,-1.742047040343185,0.45552482951727413,-3.824263634957629,1.3116350836015286e-4,2.3193045632386594e-4
SPAC5H10.04,1124.4076852332146,-1.4619031965889722,0.1043367730465926,-14.011389790022978,1.3278084523104607e-44,7.137497817639798e-44
SPAC5H10.06C,2888.9744350891115,-1.0456854835555025,0.06821170126222696,-15.330001513018459,4.819753454585491e-53,2.989812488695725e-52
SPAC5H10.08C,1493.3007736546397,-1.3220952515966387,0.07724606897353167,-17.11537259002337,1.1398402741436305e-65,8.69715755567582e-65
SPNCRNA.614,739.8463692185315,-3.5216684683587576,0.12103639238273986,-29.095947086910677,4.039782482818746e-186,1.1989750416425961e-184
SPNCRNA.615,107.69076096051157,-1.6248072880117046,0.22752496646666626,-7.141226359656439,9.250187373076776e-13,2.3990520996928425e-12
SPAC5H10.12C,1772.8405947197757,-2.8271815126434725,0.08574569454968493,-32.97170228185948,2.0674535200162977e-238,9.416455609243461e-237
SPAC13G6.01C,2675.4563453237383,-2.2500981029444445,0.06536890500203754,-34.4215357879149,1.2010066783762784e-259,6.349250484523165e-258
SPNCRNA.2072,3.030078147511865,-3.515552528209118,1.5668509813285378,-2.243705732135592,0.024851341063124272,0.03558519720308557
SPNCRNA.2073,14.545919247138338,-2.4332951211076046,0.6253641829782318,-3.891004933348261,9.982990295541906e-5,1.7838927279282822e-4
SPNCRNA.2078,47.571479435153876,-3.441133773248909,0.4246086986727441,-8.10424700201696,5.307318584686647e-16,1.5355305809884993e-15
SPNCRNA.2079,818.0660003470678,-1.144151811067763,0.10311431244664553,-11.095955390865667,1.3125005051343348e-28,5.203425169668829e-28
SPNCRNA.620,77.4604601952588,-2.330326981731892,0.2763857624344534,-8.431429177849,3.414689271680834e-17,1.0195852333647109e-16
SPNCRNA.2082,18.50482005677015,-3.9365397512898177,0.7542479306427478,-5.219158835391454,1.7973757230589343e-7,3.7798833799438647e-7
SPAC13G6.15C,379.3439069482296,-1.5092230800907973,0.12367879493370007,-12.202763464018547,3.0045111931215744e-34,1.3345619485726062e-33
SPAC24B11.06C,4750.517937117018,-1.1666401679846443,0.0651414020687524,-17.909349982263716,9.96929848918016e-72,8.414571112535387e-71
