gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPNCRNA.3471,5.412884799918695,-3.4802928849250527,1.2406265142332795,-2.8052704379576405,0.005027437873123989,0.007777259215353923
SPAPB1E7.04C,3818.220160310652,-2.509054264684412,0.06623408667301155,-37.881616411067355,0,0
SPNCRNA.3473,31.364052231518013,3.8747331730214203,0.48074788209135155,8.059802897447076,7.641756383117621e-16,2.1991173533141887e-15
SPNCRNA.3474,16.355951809524935,-5.126091594005686,1.1106296078140268,-4.61548256767169,3.921829610751264e-6,7.654904606974858e-6
SPNCRNA.3476,2.5603608550150936,3.2711109670314165,1.4827583817042447,2.206098449615024,0.027377107255738123,0.03901320145877868
SPAPB1E7.08C,2411.7828602120253,2.0330817068446323,0.07052701507073711,28.826992107995697,9.845669529490155e-183,2.8162419944015074e-181
SPNCRNA.3480,2.016300673260192,-4.001917419724587,1.677515104646767,-2.385622286582789,0.017050252743858182,0.024832012420706998
SPNCRNA.3482,21.313769217232682,-3.9233147420169816,0.699915495330983,-5.605412036436893,2.0776011713179765e-8,4.569642100807482e-8
SPNCRNA.3484,23.459538221755825,-4.652570041790733,0.8064247529451647,-5.769379008765495,7.956417841720917e-9,1.7854822831468468e-8
SPNCRNA.3487,91.03443186899914,2.2052987592018356,0.2238430892641291,9.851985006334681,6.720338989171117e-23,2.329009491067146e-22
SPAC2E1P5.02C,293.69333655230025,-1.0165050620715084,0.14966132331380622,-6.792035774935154,1.105621212911009e-11,2.7744790004857316e-11
SPNCRNA.3488,10.389721997996247,-1.8670031529991034,0.6956663944110839,-2.6837621710613377,0.007279887241826086,0.011095035356203925
SPAC2E1P5.03,1569.3840185660856,-1.0582234620387703,0.07300539778992252,-14.495140004357935,1.3003697351606548e-47,7.378523432569466e-47
SPAC2E1P5.04C,587.5437720149109,1.3619127583548751,0.10009119646237248,13.606718737415255,3.6527900876478314e-42,1.883166748712478e-41
SPAC2E1P5.05,2570.3515749109074,-1.1009465106866383,0.0681620933337267,-16.151888195339335,1.1013799262069482e-58,7.495713267898092e-58
SPAC26A3.01,17159.978069043198,-2.1794693412194857,0.05957583454145206,-36.58311055136022,5.308554637985702e-293,3.30862652752772e-291
SPNCRNA.3492,7.761383358635025,-3.428714086993847,1.0454147190697896,-3.279764503454398,0.0010389376994670622,0.0017113785279022048
SPAC26A3.06,2616.091977922529,2.0144192764665685,0.06165711289179298,32.67132017682753,3.9912603843856056e-234,1.783566244222428e-232
SPNCRNA.3493,30.010512107179373,-3.6451484996053805,0.5518614877710167,-6.605187316709184,3.970150283403954e-11,9.772296748299651e-11
SPNCRNA.3495,16.351612944797346,-2.320737470755003,0.5903136039230108,-3.931363694368926,8.44653804755427e-5,1.5196582126882053e-4
SPAC26A3.12C,2784.9424071430194,-1.1601991096976192,0.061541263863599885,-18.85237703712237,2.8093071784712313e-79,2.640302825988597e-78
SPAC26A3.11,2821.6353999886,1.8275199350289864,0.0615294754062174,29.701536100603906,7.335783305904443e-194,2.3635754352628487e-192
SPAC26A3.15C,6387.751312408034,-1.3717308661928023,0.06949191794000965,-19.739430236721592,9.888676911202987e-87,1.0209390756971733e-85
SPAC8E11.10,1759.2402604954682,-2.2966599294056396,0.09151042314106479,-25.0972495872443,5.329345939661513e-139,9.649864620408507e-138
SPAC8E11.12,89.17515106236925,-2.430442024961676,0.26537290084461396,-9.158591616650387,5.2579021044905353e-20,1.6937996931821796e-19
SPNCRNA.903,91.34331840771765,2.4231292166649867,0.24194359809967833,10.0152648621299,1.3061158845115137e-23,4.617022180413536e-23
SPAC8E11.07C,1056.5413425820166,-1.8031468444594756,0.08241607818174136,-21.878581027396528,4.1557303286232995e-106,5.378377983776734e-105
SPAC8E11.06,92.76223754733222,1.1317806967205186,0.20426638239459002,5.540709555105401,3.012485055526689e-8,6.583105375077883e-8
SPNCRNA.3507,59.18661750655379,-3.696208851789108,0.39792062341201023,-9.288809461785608,1.560236880430705e-20,5.1025476769015216e-20
SPAC8E11.03C,9.937757792698,-1.5532920348451533,0.6851038295547263,-2.2672359543730676,0.02337581553459544,0.03359422421852903
SPNCRNA.3510,4.368186610030683,-2.4485064960167295,1.1464657187653933,-2.135699703828457,0.03270389857185588,0.04602252725940788
SPAC959.02,5881.665984635813,1.3355211006121568,0.053779614398019655,24.833221947782043,3.925633532707698e-136,6.969618035131118e-135
SPSNORNA.20,4739.163696018719,1.257916403110231,0.056244463233802236,22.36515971147607,8.597537523360711e-111,1.1811141456106443e-109
SPAC959.05C,676.5706761049578,-1.1557535812014463,0.09531772277184149,-12.125274792474123,7.759947567489533e-34,3.418649519873923e-33
SPNCRNA.3514,461.0931271260577,2.93640346263644,0.12421583762885094,23.639525512118897,1.5126910533983293e-123,2.391627163463687e-122
SPNCRNA.3515,39.10711493234108,-4.034610230814494,0.562349390541452,-7.1745614002174225,7.253936148881939e-13,1.8941810777300972e-12
SPNCRNA.3516,222.74996404030347,-4.071253781361168,0.23677842289385348,-17.194361427038857,2.926644515279404e-66,2.2563362206991346e-65
SPAC959.09C,923.3386377918043,1.0032055090017256,0.08997360941841616,11.149997376857323,7.160847958843447e-29,2.859027698200408e-28
SPNCRNA.3517,50.05016515388058,-3.8031215125913316,0.4429806787692729,-8.585298851312187,9.06005961889993e-18,2.7390662753896593e-17
SPNCRNA.3518,11.629398759907785,-4.6217938777055645,1.1364454943488649,-4.066885654162989,4.7645606667813684e-5,8.71381118394208e-5
SPNCRNA.3519,9.187699366044392,2.0398485806041435,0.6817190907112385,2.992212787346129,0.0027696314115947932,0.004380656494738285
SPNCRNA.907,126.632132337997,2.1654470042979006,0.20509769201652078,10.558124681985559,4.6587589649718355e-26,1.74254654653179e-25
SPAP32A8.02,2325.5769360528334,1.3541577702702683,0.09159553895032593,14.784101778195277,1.8551565714769386e-49,1.087024449254325e-48
SPNCRNA.3521,3.191743733397691,-4.690353664582053,1.5170518797014354,-3.0917556131996897,0.0019897658867704853,0.0031966907653148947
SPAC3H5.13,767.9608134678273,1.0280895382268584,0.08784232862288201,11.703805606526828,1.2186307932709127e-31,5.119200373860996e-31
SPNCRNA.3526,66.11857158124755,-2.8942756140960357,0.34241209117232474,-8.452609264429983,2.848637566774544e-17,8.537981793405252e-17
SPNCRNA.3527,4.5805287415524365,-2.5499479813114974,1.1556925798672282,-2.206424118085493,0.02735431788707986,0.038990109824121294
SPNCRNA.3528,13.201318314645262,-3.7975661797207705,0.85847066496885,-4.423641173409888,9.705116304403905e-6,1.8527807073472683e-5
