SPAC1071.12c	GO:0023052,GO:0005829,GO:0004726,GO:0005634,GO:0004725,GO:0003993,GO:0004722
SPAC1071.13	GO:0003674,GO:0005575,GO:0008150
SPAC1093.01	GO:0005737,GO:0005739,GO:0005759,GO:0140053,GO:0003729
SPAC1093.02	GO:0004733,GO:0042818,GO:0008615,GO:0042823,GO:0010181,GO:0005575
SPAC1093.03	GO:0023052,GO:0070772,GO:0005829,GO:0000329,GO:0043813
SPAC1093.04c	GO:1990180,GO:0001680,GO:0005829,GO:0002135,GO:0005739,GO:0052927,GO:0000049
SPAC1093.05	GO:0005524,GO:0006364,GO:0005829,GO:0005737,GO:0005634,GO:0003724,GO:0005730,GO:0032040
SPAC1093.06c	GO:0005524,GO:1990574,GO:0030989,GO:0016887,GO:0005938,GO:0030981,GO:0007129,GO:0000742,GO:0031122,GO:0035974,GO:0005868,GO:0051315,GO:0008569,GO:0007052,GO:0005515,GO:0005816,GO:0000743
SPAC10F6.01c	GO:0005829,GO:0051539,GO:0009337,GO:0020037,GO:0010181,GO:0000103,GO:0004783
SPAC10F6.02c	GO:0005681,GO:0005524,GO:0003723,GO:0005684,GO:0005634,GO:0003724,GO:0045292,GO:0071014,GO:0000390
SPAC10F6.03c	GO:0097268,GO:0005524,GO:0005829,GO:0003883,GO:0005737,GO:0044210,GO:0006207
SPAC10F6.04	GO:0003674,GO:0005634,GO:0002098,GO:0005829
SPAC10F6.05c	GO:0005524,GO:0180027,GO:0005789,GO:0005634,GO:0061631,GO:0036503
SPAC10F6.06	GO:0008150,GO:0003723,GO:0005829
SPAC10F6.07c	GO:0005829,GO:0005737,GO:0008150,GO:0005634,GO:0003674
SPAC10F6.08c	GO:0031011,GO:0006281,GO:0006338,GO:0045815,GO:0005634,GO:0045027
SPAC10F6.09c	GO:0005524,GO:0016887,GO:0005829,GO:0140588,GO:0061776,GO:0005634,GO:0031619,GO:0000779,GO:0005515,GO:0030892,GO:0003690,GO:0030893,GO:0007064
SPAC10F6.10	GO:0005524,GO:0005829,GO:0004674,GO:0000462,GO:0030688,GO:0005634
SPAC10F6.11c	GO:0030295,GO:0030242,GO:0060090,GO:0034045,GO:0034727,GO:0000423,GO:0005515,GO:0016236,GO:0000045,GO:1990316,GO:0000407
SPAC10F6.12c	GO:0005789,GO:0005783,GO:0071432,GO:0004671
SPAC10F6.13c	GO:0004069,GO:0005829,GO:0006532,GO:0006536,GO:0005634,GO:0030170
SPAC10F6.14c	GO:0008150,GO:0005739,GO:0016301
SPAC10F6.15	GO:0003674,GO:0008150,GO:0005938
SPAC10F6.16	GO:1905287,GO:1902472,GO:0035556,GO:0005829,GO:0004865,GO:1900237,GO:0005634
SPAC10F6.17c	GO:0004741,GO:0006091,GO:0005739,GO:0006086,GO:0007165
SPAC110.01	GO:0008150,GO:0004674,GO:0005524,GO:0005938
SPAC110.02	GO:0000785,GO:0140670,GO:0006281,GO:0090695,GO:0003677,GO:0000228,GO:0140463,GO:0005721,GO:0005634,GO:0031934,GO:0005515,GO:0099115,GO:0051456,GO:0007064
SPAC110.03	GO:0012505,GO:0032878,GO:2001135,GO:2000769,GO:1902917,GO:0043539,GO:0097575,GO:0005515,GO:0042815,GO:0017157,GO:0031520,GO:0032955,GO:0070382,GO:0032951,GO:0110085,GO:0043332,GO:0023052,GO:0005886,GO:0005938,GO:1902716,GO:0030010,GO:0003924,GO:0051286,GO:0005525,GO:0060627,GO:0101026,GO:0032154,GO:0006897,GO:0090726,GO:0032153,GO:0030427,GO:0035591,GO:0051285,GO:0033157,GO:0009898,GO:0071521
SPAC110.04c	GO:0005524,GO:0016887,GO:0005829,GO:0042026,GO:0005634,GO:0140662,GO:0000774
SPAC1142.01	GO:0005829,GO:0072344,GO:1990112,GO:0043161,GO:1990116,GO:0003674
SPAC1142.02c	GO:0060090,GO:0005829,GO:0072380,GO:0006620,GO:0016020,GO:0032977
SPAC1142.03c	GO:0034974,GO:0007534,GO:0007535,GO:0005634,GO:0031934,GO:0005730,GO:0005515,GO:1990837
SPAC1142.04	GO:0030691,GO:0030690,GO:0005730,GO:0042273,GO:0005654,GO:0003674
SPAC1142.05	GO:0005886,GO:0098705,GO:0035434,GO:0000324,GO:0005375
SPAC1142.06	GO:0005524,GO:0016887,GO:0005829,GO:0043529,GO:0005634,GO:0071816,GO:0032977
SPAC1142.07c	GO:0006900,GO:0180028,GO:0005771,GO:0005737,GO:0043328,GO:0045324,GO:0007084,GO:0005515,GO:0000815,GO:0009898
SPAC1142.08	GO:0000978,GO:0005634,GO:0060963,GO:0001228
SPAC11D3.01c	GO:0003674,GO:0008150,GO:0005634,GO:0005829
SPAC11D3.02c	GO:0008150,GO:0005634,GO:0016747,GO:0005829
SPAC11D3.03c	GO:0005575,GO:0008150,GO:0003824
SPAC11D3.04c	GO:0008150,GO:0009975,GO:0005634,GO:0005829
SPAC11D3.05	GO:0055085,GO:0005783,GO:0005886,GO:0022857
SPAC11D3.06	GO:1990961,GO:0005794,GO:0015297,GO:0000329,GO:0042910
SPAC11D3.07c	GO:0008270,GO:0000978,GO:0000981,GO:0045944,GO:0005634
SPAC11D3.08c	GO:0003333,GO:0016020,GO:0015171
SPAC11D3.09	GO:0005783,GO:0008783,GO:0046872,GO:0019627,GO:0033389
SPAC11D3.10	GO:0005575,GO:0031071,GO:0008150
SPAC11D3.11c	GO:0008270,GO:0000978,GO:0000981,GO:0006357,GO:0005575
SPAC11D3.13	GO:0019172,GO:0005829,GO:0005737,GO:0019243,GO:1990748
SPAC11D3.14c	GO:0006749,GO:0017168,GO:1990748,GO:0005829
SPAC11D3.15	GO:0006749,GO:0017168,GO:1990748,GO:0005829
SPAC11D3.16c	GO:0005829,GO:0044732,GO:0008150,GO:0005634,GO:0003674
SPAC11D3.17	GO:0000785,GO:0008270,GO:0000978,GO:0000981,GO:0005634,GO:0006357
SPAC11D3.18c	GO:1905039,GO:0046943,GO:0005783,GO:0005886
SPAC11D3.19	GO:0003674,GO:0005575,GO:0008150
SPAC11E3.01c	GO:0005524,GO:0016887,GO:0000812,GO:0042393,GO:0003677,GO:0045815,GO:0005634,GO:0140849
SPAC11E3.02c	GO:0090689,GO:0120207,GO:0005829,GO:0032153,GO:0051286,GO:0006887,GO:0005546,GO:0001786
SPAC11E3.03	GO:0000070,GO:0000776,GO:0000775,GO:0005829,GO:1990644,GO:0005730,GO:0051315,GO:0045144,GO:0005634,GO:1990893,GO:0005515,GO:0033551,GO:0034506,GO:0072686
SPAC11E3.04c	GO:0120113,GO:0005524,GO:0006301,GO:0070914,GO:0005829,GO:0005634,GO:0005515,GO:0061631,GO:0061630
SPAC11E3.05	GO:1990130,GO:0005774,GO:0008270,GO:0035859,GO:0061700,GO:1904262,GO:0000329,GO:0035591,GO:0034198,GO:1904263,GO:0061630
SPAC11E3.06	GO:0023052,GO:0000978,GO:0010514,GO:0001228,GO:0045944,GO:0005634,GO:0005515,GO:0006357
SPAC11E3.07	GO:0016887,GO:0046961,GO:0007035,GO:1902600,GO:0000221,GO:0000329
SPAC11E3.08c	GO:0006974,GO:0000724,GO:0006302,GO:0140463,GO:0030915,GO:0005634,GO:0005515
SPAC11E3.09	GO:0005829,GO:0010971,GO:0004725,GO:0005634,GO:0007165
SPAC11E3.10	GO:0005794,GO:0008150,GO:0003674
SPAC11E3.11c	GO:0023052,GO:0005938,GO:0016192,GO:0005547,GO:0010971,GO:0005085,GO:0006886,GO:0032153,GO:0051523,GO:0051285
SPAC11E3.12	GO:0051537,GO:0005739,GO:0016491,GO:0017004
SPAC11E3.13c	GO:0031505,GO:0071970,GO:0009986,GO:0009277,GO:0098552,GO:0042124
SPAC11E3.14	GO:0005829,GO:1990748,GO:0005634,GO:0003674,GO:0071218
SPAC11E3.15	GO:0003723,GO:0002181,GO:0005829,GO:0022625,GO:0003735,GO:0030684,GO:0005730
SPAC11G7.01	GO:0003674,GO:0008150,GO:0005886
SPAC11G7.02	GO:0120113,GO:0006511,GO:0071944,GO:0005737,GO:0005794,GO:1905533,GO:1905530,GO:0005515,GO:0042997,GO:0005543,GO:0061630
SPAC11G7.03	GO:0051287,GO:0045242,GO:0005737,GO:0006099,GO:0000287,GO:0005759,GO:0004449
SPAC11G7.04	GO:0002181,GO:0022625,GO:0031625,GO:0003735,GO:0042254,GO:0005634,GO:0019941,GO:0031386
SPAC11G7.05c	GO:0006633,GO:0005739,GO:0004314
SPAC11G7.06c	GO:0003674,GO:0005575,GO:0008150
SPAC11H11.01	GO:0120113,GO:0031902,GO:0000813,GO:0006897,GO:0043328,GO:0005634,GO:0045324,GO:0005635,GO:0003674
SPAC11H11.02c	GO:0003674,GO:0008150,GO:0005783
SPAC11H11.03c	GO:0006281,GO:0005829,GO:0046404,GO:0004519,GO:0005634
SPAC11H11.04	GO:0070250,GO:0036320,GO:0005886,GO:0031520,GO:0005938,GO:0007186,GO:0031139,GO:0032153,GO:0051286,GO:0038038,GO:0000324,GO:0005515,GO:0062038,GO:0000750
SPAC11H11.05c	GO:0000070,GO:0000776,GO:0005829,GO:0031511,GO:0005634,GO:0003674
SPAC11H11.06	GO:0030479,GO:0005524,GO:0051015,GO:0005885,GO:0090135,GO:0006897,GO:0000147,GO:0034314,GO:0031097,GO:0051285
SPAC1250.01	GO:0005524,GO:0016887,GO:0042393,GO:0140751,GO:0140750,GO:0003682,GO:0003677,GO:0140463,GO:0045815,GO:0045944,GO:0016586,GO:0005634,GO:0033696,GO:0007064
SPAC1250.02	GO:0003674,GO:0008150,GO:0005783
SPAC1250.03	GO:0006511,GO:0005524,GO:0005634,GO:0061631,GO:0005515
SPAC1250.04c	GO:0006283,GO:0005829,GO:0003684,GO:0070911,GO:0005634,GO:0032132,GO:0003908
SPAC1250.05	GO:0003723,GO:0006364,GO:0002181,GO:0005829,GO:0022625,GO:0003735,GO:0030684
SPAC1250.07	GO:0000127,GO:0000992,GO:0000995,GO:0005634,GO:0006384
SPAC1296.01c	GO:0005829,GO:0004610,GO:0006031,GO:0005634,GO:0006048
SPAC1296.02	GO:0005739,GO:0004129,GO:0006123,GO:0045277,GO:0005743
SPAC1296.03c	GO:0043409,GO:0004180,GO:0000747,GO:0031138,GO:0005829,GO:0010515,GO:0004185,GO:0005634,GO:0051603,GO:0005576
SPAC1296.04	GO:0003674,GO:0005628,GO:0030476,GO:0016236
SPAC1296.05c	GO:0000307,GO:0016538,GO:0045944,GO:0005634,GO:2001178
SPAC1296.06	GO:0003958,GO:0050661,GO:0005829,GO:0044572,GO:0005739,GO:0010181,GO:0050660
SPAC12B10.01c	GO:0061630,GO:0005634,GO:0043161,GO:0005829
SPAC12B10.02c	GO:0005789,GO:0006888,GO:0005783,GO:0047198
