N_unmapped	5768823	5768823	5768823
N_multimapping	585554	585554	585554
N_noFeature	64426	9113041	228782
N_ambiguous	10550771	152453	933051
SPOM_SPAC212.11	0	0	0
SPOM_SPNCRNA.2000	0	0	0
SPOM_SPNCRNA.2001	0	0	0
SPOM_SPNCRNA.2002	0	0	0
SPOM_SPNCRNA.2003	0	0	0
SPOM_SPNCRNA.2004	0	0	0
SPOM_SPNCRNA.2005	0	6	0
SPOM_SPAC212.10	0	0	6
SPOM_SPNCRNA.2006	0	1	0
SPOM_SPAC212.09C	2	0	3
SPOM_SPNCRNA.70	3	1	2
SPOM_SPNCRNA.2007	0	2	0
SPOM_SPAC212.08C	2	2	10
SPOM_SPNCRNA.2008	0	6	2
SPOM_SPNCRNA.2009	2	11	23
SPOM_SPAC212.07C	0	21	9
SPOM_SPNCRNA.1701	68	43	65
SPOM_SPAC212.12	0	4	36
SPOM_SPNCRNA.2011	1	1	0
SPOM_SPNCRNA.2012	7	31	11
SPOM_SPAC212.06C	0	11	24
SPOM_SPNCRNA.2013	0	0	0
SPOM_SPAC212.05C	0	0	0
SPOM_SPAC212.04C	117	0	117
SPOM_SPAC212.03	0	0	0
SPOM_SPNCRNA.2014	2	0	2
SPOM_SPNCRNA.2015	0	1	3
SPOM_SPAC212.02	0	3	1
SPOM_SPAC212.01C	0	0	0
SPOM_SPAC977.01	7	1	7
SPOM_SPAC977.18	58	3	67
SPOM_SPAC977.02	23	12	23
SPOM_SPNCRNA.2016	3	4	7
SPOM_SPAC977.03	0	3	0
SPOM_SPAC977.04	2	0	6
SPOM_SPAC977.05C	1	0	4
SPOM_SPNCRNA.2017	0	3	0
SPOM_SPAC977.06	8	0	8
SPOM_SPNCRNA.136	0	40	0
SPOM_SPNCRNA.601	0	0	40
SPOM_SPNCRNA.2018	0	2	28
SPOM_SPAC977.07C	0	28	2
SPOM_SPNCRNA.2019	0	0	0
SPOM_SPAC977.08	1	0	1
SPOM_SPAC977.09C	1	0	3
SPOM_SPNCRNA.2020	0	0	0
SPOM_SPNCRNA.2021	6	0	6
SPOM_SPNCRNA.2022	1	37	14
SPOM_SPNCRNA.2023	0	16	37
SPOM_SPNCRNA.602	155	430	1340
SPOM_SPNCRNA.19	1	1182	431
SPOM_SPAC977.10	737	428	4187
SPOM_SPNCRNA.2024	0	3454	424
SPOM_SPNCRNA.2025	8	1	7
SPOM_SPAC977.11	21	6	26
SPOM_SPNCRNA.2026	0	5	0
SPOM_SPNCRNA.2027	0	7	0
SPOM_SPAC977.12	570	41	533
SPOM_SPAC977.13C	0	35	667
SPOM_SPNCRNA.2028	0	666	35
SPOM_SPAC977.14C	7989	5	15151
SPOM_SPNCRNA.2029	2	7155	5
SPOM_SPNCRNA.2030	2	0	2
SPOM_SPNCRNA.2031	0	254	10
SPOM_SPAC977.15	16	10	270
SPOM_SPNCRNA.2032	0	6	1
SPOM_SPNCRNA.2033	0	4	18
SPOM_SPAC977.16C	3345	39	9613
SPOM_SPNCRNA.2034	0	4146	2
SPOM_SPAC977.17	2543	2163	2536
SPOM_SPNCRNA.2035	1	21	1
SPOM_SPNCRNA.137	0	0	21
SPOM_SPNCRNA.37	6	6	0
SPOM_SPNCRNA.2036	11	2	9
SPOM_SPAPJ695.02	691	6	685
SPOM_SPNCRNA.2037	79	51	28
SPOM_SPNCRNA.2038	78	44	182
